Date : 2024-06-11 12:21:30
Directory : c:\xampp\htdocs\laravel\EMS
Total : 237 files,  24564 codes, 2253 comments, 1936 blanks, all 28753 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| resources\js\Pages (Files)                                                                                                     |          3 |        432 |          2 |         44 |        478 |
| resources\js\Pages\Auth                                                                                                        |          6 |        381 |          0 |         76 |        457 |
| resources\js\Pages\ConsumableItems                                                                                             |          2 |        286 |         12 |         36 |        334 |
| resources\js\Pages\ImageTests                                                                                                  |          5 |        258 |         42 |         57 |        357 |
| resources\js\Pages\Inventory                                                                                                   |          4 |          0 |          0 |          4 |          4 |
| resources\js\Pages\InventoryPlans                                                                                              |          2 |         52 |          0 |         12 |         64 |
| resources\js\Pages\Items                                                                                                       |          5 |        937 |         85 |        136 |      1,158 |
| resources\js\Pages\Profile                                                                                                     |          4 |        294 |          0 |         58 |        352 |
| resources\js\Pages\Profile (Files)                                                                                             |          1 |         40 |          0 |          7 |         47 |
| resources\js\Pages\Profile\Partials                                                                                            |          3 |        254 |          0 |         51 |        305 |
| resources\js\Pages\Wishes                                                                                                      |          1 |         74 |          0 |          7 |         81 |
| resources\views                                                                                                                |          2 |        136 |          0 |         27 |        163 |
| routes                                                                                                                         |          5 |        112 |         48 |         53 |        213 |
| tests                                                                                                                          |         16 |        448 |         53 |        154 |        655 |
| tests (Files)                                                                                                                  |          3 |         56 |          9 |         17 |         82 |
| tests\Browser                                                                                                                  |          4 |         54 |         37 |         19 |        110 |
| tests\Browser (Files)                                                                                                          |          2 |         23 |         20 |          9 |         52 |
| tests\Browser\Pages                                                                                                            |          2 |         31 |         17 |         10 |         58 |
| tests\Feature                                                                                                                  |          8 |        328 |          4 |        114 |        446 |
| tests\Feature (Files)                                                                                                          |          2 |         87 |          4 |         29 |        120 |
| tests\Feature\Auth                                                                                                             |          6 |        241 |          0 |         85 |        326 |
| tests\Unit                                                                                                                     |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                                  |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                                         |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                               |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                                      |          2 |          7 |          2 |          1 |         10 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                       | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\xampp\htdocs\laravel\EMS\.github\workflows\issues.yml                                                                       | YAML               |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\laravel\EMS\.github\workflows\pull-requests.yml                                                                | YAML               |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\laravel\EMS\.github\workflows\tests.yml                                                                        | YAML               |         36 |          0 |         12 |         48 |
| c:\xampp\htdocs\laravel\EMS\.github\workflows\update-changelog.yml                                                             | YAML               |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\laravel\EMS\.styleci.yml                                                                                       | YAML               |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\laravel\EMS\CHANGELOG.md                                                                                       | Markdown           |          4 |          0 |          4 |          8 |
| c:\xampp\htdocs\laravel\EMS\README.md                                                                                          | Markdown           |          5 |          0 |          5 |         10 |
| c:\xampp\htdocs\laravel\EMS\app\Console\Kernel.php                                                                             | PHP                |         15 |          7 |          6 |         28 |
| c:\xampp\htdocs\laravel\EMS\app\Events\LowStockDetectEvent.php                                                                 | PHP                |         24 |          8 |          6 |         38 |
| c:\xampp\htdocs\laravel\EMS\app\Exceptions\Handler.php                                                                         | PHP                |         21 |         21 |          7 |         49 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\AnalysisController.php                                                        | PHP                |         26 |         22 |         15 |         63 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Api\AnalysisController.php                                                    | PHP                |         35 |          7 |         11 |         53 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Api\ConsumableItemsController.php                                             | PHP                |         46 |          8 |         11 |         65 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\AuthenticatedSessionController.php                                       | PHP                |         34 |          9 |         11 |         54 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\ConfirmablePasswordController.php                                        | PHP                |         30 |          6 |          7 |         43 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\EmailVerificationNotificationController.php                              | PHP                |         17 |          3 |          6 |         26 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\EmailVerificationPromptController.php                                    | PHP                |         17 |          3 |          4 |         24 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\NewPasswordController.php                                                | PHP                |         47 |         14 |          9 |         70 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\PasswordController.php                                                   | PHP                |         21 |          3 |          6 |         30 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\PasswordResetLinkController.php                                          | PHP                |         33 |         11 |          8 |         52 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\RegisteredUserController.php                                             | PHP                |         36 |          8 |          9 |         53 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Auth\VerifyEmailController.php                                                | PHP                |         20 |          3 |          6 |         29 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ConsumableItemsController.php                                                 | PHP                |         83 |         11 |         17 |        111 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\Controller.php                                                                | PHP                |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ImageTestController.php                                                       | PHP                |         83 |         20 |         28 |        131 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\InventoryPlanController.php                                                   | PHP                |         35 |         28 |         12 |         75 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ItemController.php                                                            | PHP                |        205 |         89 |         58 |        352 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\ProfileController.php                                                         | PHP                |         41 |          9 |         14 |         64 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\UpdateStockController.php                                                     | PHP                |         41 |         14 |         16 |         71 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Controllers\WishController.php                                                            | PHP                |         48 |         27 |         13 |         88 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Kernel.php                                                                                | PHP                |         43 |         20 |          7 |         70 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\Authenticate.php                                                               | PHP                |         11 |          3 |          4 |         18 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\EncryptCookies.php                                                             | PHP                |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\HandleInertiaRequests.php                                                      | PHP                |         27 |         13 |          6 |         46 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\PreventRequestsDuringMaintenance.php                                           | PHP                |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\RedirectIfAuthenticated.php                                                    | PHP                |         20 |          5 |          6 |         31 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrimStrings.php                                                                | PHP                |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrustHosts.php                                                                 | PHP                |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\TrustProxies.php                                                               | PHP                |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\ValidateSignature.php                                                          | PHP                |          8 |         11 |          4 |         23 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Middleware\VerifyCsrfToken.php                                                            | PHP                |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\Auth\LoginRequest.php                                                            | PHP                |         51 |         21 |         14 |         86 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\ProfileUpdateRequest.php                                                         | PHP                |         15 |          5 |          4 |         24 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\StoreInventoryPlanRequest.php                                                    | PHP                |         15 |          9 |          5 |         29 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\StoreItemRequest.php                                                             | PHP                |         23 |         22 |          5 |         50 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\StoreWishRequest.php                                                             | PHP                |         15 |          9 |          5 |         29 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UpdateInventoryPlanRequest.php                                                   | PHP                |         15 |          9 |          5 |         29 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UpdateItemRequest.php                                                            | PHP                |         23 |         22 |          5 |         50 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UpdateWishRequest.php                                                            | PHP                |         15 |          9 |          5 |         29 |
| c:\xampp\htdocs\laravel\EMS\app\Http\Requests\UploadImageRequest.php                                                           | PHP                |         24 |         10 |          6 |         40 |
| c:\xampp\htdocs\laravel\EMS\app\Listeners\LowStockDetectListener.php                                                           | PHP                |         22 |         16 |          9 |         47 |
| c:\xampp\htdocs\laravel\EMS\app\Models\Category.php                                                                            | PHP                |         16 |          0 |          6 |         22 |
| c:\xampp\htdocs\laravel\EMS\app\Models\Edithistory.php                                                                         | PHP                |         38 |          0 |          9 |         47 |
| c:\xampp\htdocs\laravel\EMS\app\Models\ImageTest.php                                                                           | PHP                |         12 |          0 |          5 |         17 |
| c:\xampp\htdocs\laravel\EMS\app\Models\Inspection.php                                                                          | PHP                |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\laravel\EMS\app\Models\InventoryPlan.php                                                                       | PHP                |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\laravel\EMS\app\Models\Item.php                                                                                | PHP                |         68 |          5 |         17 |         90 |
| c:\xampp\htdocs\laravel\EMS\app\Models\Location.php                                                                            | PHP                |         16 |          0 |          6 |         22 |
| c:\xampp\htdocs\laravel\EMS\app\Models\User.php                                                                                | PHP                |         23 |         16 |          7 |         46 |
| c:\xampp\htdocs\laravel\EMS\app\Models\Wish.php                                                                                | PHP                |         16 |          0 |          6 |         22 |
| c:\xampp\htdocs\laravel\EMS\app\Notifications\LowStockNotification.php                                                         | PHP                |         30 |         17 |          9 |         56 |
| c:\xampp\htdocs\laravel\EMS\app\Observers\ItemObserver.php                                                                     | PHP                |         51 |         30 |         16 |         97 |
| c:\xampp\htdocs\laravel\EMS\app\Policies\InventoryPlanPolicy.php                                                               | PHP                |         29 |         28 |         10 |         67 |
| c:\xampp\htdocs\laravel\EMS\app\Policies\ItemPolicy.php                                                                        | PHP                |         29 |         28 |         10 |         67 |
| c:\xampp\htdocs\laravel\EMS\app\Policies\WishPolicy.php                                                                        | PHP                |         29 |         28 |         10 |         67 |
| c:\xampp\htdocs\laravel\EMS\app\Providers\AppServiceProvider.php                                                               | PHP                |         15 |          7 |          6 |         28 |
| c:\xampp\htdocs\laravel\EMS\app\Providers\AuthServiceProvider.php                                                              | PHP                |         22 |          9 |          8 |         39 |
| c:\xampp\htdocs\laravel\EMS\app\Providers\BroadcastServiceProvider.php                                                         | PHP                |         12 |          3 |          5 |         20 |
| c:\xampp\htdocs\laravel\EMS\app\Providers\EventServiceProvider.php                                                             | PHP                |         24 |         15 |          6 |         45 |
| c:\xampp\htdocs\laravel\EMS\app\Providers\RouteServiceProvider.php                                                             | PHP                |         28 |         13 |          8 |         49 |
| c:\xampp\htdocs\laravel\EMS\app\Services\AnalysisService.php                                                                   | PHP                |          5 |          1 |          5 |         11 |
| c:\xampp\htdocs\laravel\EMS\app\Services\ImageService.php                                                                      | PHP                |         24 |         15 |         11 |         50 |
| c:\xampp\htdocs\laravel\EMS\bootstrap\app.php                                                                                  | PHP                |         17 |         30 |          9 |         56 |
| c:\xampp\htdocs\laravel\EMS\composer.json                                                                                      | JSON               |         79 |          0 |          1 |         80 |
| c:\xampp\htdocs\laravel\EMS\composer.lock                                                                                      | JSON               |      9,677 |          0 |          1 |      9,678 |
| c:\xampp\htdocs\laravel\EMS\config\app.php                                                                                     | PHP                |         52 |        136 |         33 |        221 |
| c:\xampp\htdocs\laravel\EMS\config\auth.php                                                                                    | PHP                |         28 |         74 |         14 |        116 |
| c:\xampp\htdocs\laravel\EMS\config\broadcasting.php                                                                            | PHP                |         35 |         23 |         13 |         71 |
| c:\xampp\htdocs\laravel\EMS\config\cache.php                                                                                   | PHP                |         58 |         34 |         19 |        111 |
| c:\xampp\htdocs\laravel\EMS\config\cors.php                                                                                    | PHP                |         11 |         12 |         12 |         35 |
| c:\xampp\htdocs\laravel\EMS\config\database.php                                                                                | PHP                |         83 |         47 |         22 |        152 |
| c:\xampp\htdocs\laravel\EMS\config\filesystems.php                                                                             | PHP                |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\laravel\EMS\config\hashing.php                                                                                 | PHP                |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\laravel\EMS\config\logging.php                                                                                 | PHP                |         70 |         34 |         19 |        123 |
| c:\xampp\htdocs\laravel\EMS\config\mail.php                                                                                    | PHP                |         53 |         53 |         19 |        125 |
| c:\xampp\htdocs\laravel\EMS\config\queue.php                                                                                   | PHP                |         47 |         32 |         15 |         94 |
| c:\xampp\htdocs\laravel\EMS\config\sanctum.php                                                                                 | PHP                |         15 |         41 |         12 |         68 |
| c:\xampp\htdocs\laravel\EMS\config\services.php                                                                                | PHP                |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\laravel\EMS\config\session.php                                                                                 | PHP                |         22 |        147 |         33 |        202 |
| c:\xampp\htdocs\laravel\EMS\config\view.php                                                                                    | PHP                |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\laravel\EMS\database\factories\EdithistoryFactory.php                                                          | PHP                |         77 |         10 |         12 |         99 |
| c:\xampp\htdocs\laravel\EMS\database\factories\InventoryPlanFactory.php                                                        | PHP                |         16 |          8 |          4 |         28 |
| c:\xampp\htdocs\laravel\EMS\database\factories\ItemFactory.php                                                                 | PHP                |         37 |          8 |          5 |         50 |
| c:\xampp\htdocs\laravel\EMS\database\factories\UserFactory.php                                                                 | PHP                |         23 |         13 |          5 |         41 |
| c:\xampp\htdocs\laravel\EMS\database\factories\WishFactory.php                                                                 | PHP                |         24 |          8 |          5 |         37 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2014_10_12_000000_create_users_table.php                                       | PHP                |         24 |          6 |          4 |         34 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php                       | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2019_08_19_000000_create_failed_jobs_table.php                                 | PHP                |         23 |          6 |          4 |         33 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php                      | PHP                |         24 |          6 |          4 |         34 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_02_173655_create_categories_table.php                                  | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_03_194006_create_items_table.php                                       | PHP                |         39 |         11 |          4 |         54 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_04_212311_create_wishes_table.php                                      | PHP                |         29 |          7 |          4 |         40 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_06_191610_create_edithistories_table.php                               | PHP                |         24 |          6 |          4 |         34 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_07_194550_create_image_test_table.php                                  | PHP                |         20 |          6 |          4 |         30 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_150221_add_category_id_to_edithistories_table.php                   | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_170451_remove_edited_at_from_edithistories_table.php                | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_170609_add_edited_at_to_edithistories_table.php                     | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_183935_add_edit_type_to_edithistories_table.php                     | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_11_190022_add_operation_type_to_edithistories_table.php                | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_13_140219_add_action_type_to_edithistories_table.php                   | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_19_183512_create_notifications_table.php                               | PHP                |         22 |          6 |          4 |         32 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_25_233056_create_inventory_plans_table.php                             | PHP                |         22 |          6 |          4 |         32 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_25_235007_create_inventory_plan_item_table.php                         | PHP                |         27 |          7 |          4 |         38 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_155356_remove_item_id_from_inventory_plans_table.php                | PHP                |         21 |         11 |          5 |         37 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_163436_add_status_to_inventory_plans_table.php                      | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_173634_remove_vendor_website_url_from_items_table.php               | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_174342_remove_vendor_from_items_table.php                           | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_26_174502_add_where_to_buy_to_items_table.php                          | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_175748_create_locations_table.php                                   | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_182206_update_items_table.php                                       | PHP                |         25 |          6 |          4 |         35 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_183035_add_foreign_keys_to_items_table.php                          | PHP                |         21 |          6 |          4 |         31 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_191238_set_default_value_for_location_of_use_id_in_items_table.php  | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_27_192051_set_default_value_for_storage_location_id_in_items_table.php | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_092000_remove_product_number_from_items_table.php                   | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_092801_add_product_number_to_items_table.php                        | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_093153_remove_manufacturer_from_items_table.php                     | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_093307_add_manufacturer_to_items_table.php                          | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_103226_change_where_to_buy_column_on_items_table.php                | PHP                |         19 |          7 |          4 |         30 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_110804_add_minimum_stock_to_items_table.php                         | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_133401_remove_price_from_items_table.php                            | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_133542_add_price_to_items_table.php                                 | PHP                |         19 |          6 |          4 |         29 |
| c:\xampp\htdocs\laravel\EMS\database\migrations\2024_05_28_140525_create_inspections_table.php                                 | PHP                |         25 |          6 |          4 |         35 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\CategorySeeder.php                                                                | PHP                |         40 |          3 |          4 |         47 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\DatabaseSeeder.php                                                                | PHP                |         53 |         28 |         18 |         99 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\EdithistorySeeder.php                                                             | PHP                |         38 |         30 |          9 |         77 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\ImageTestSeeder.php                                                               | PHP                |         17 |          3 |          4 |         24 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\InventoryPlanSeeder.php                                                           | PHP                |         10 |          4 |          4 |         18 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\ItemSeeder.php                                                                    | PHP                |         83 |          4 |          4 |         91 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\LocationSeeder.php                                                                | PHP                |         49 |          3 |          4 |         56 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\UserSeeder.php                                                                    | PHP                |         32 |          3 |          4 |         39 |
| c:\xampp\htdocs\laravel\EMS\database\seeders\WishSeeder.php                                                                    | PHP                |         10 |          4 |          4 |         18 |
| c:\xampp\htdocs\laravel\EMS\jsconfig.json                                                                                      | JSON with Comments |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\laravel\EMS\lang\ja.json                                                                                       | JSON               |        141 |          0 |          1 |        142 |
| c:\xampp\htdocs\laravel\EMS\lang\ja\auth.php                                                                                   | PHP                |          5 |          1 |          5 |         11 |
| c:\xampp\htdocs\laravel\EMS\lang\ja\pagination.php                                                                             | PHP                |          5 |          1 |          5 |         11 |
| c:\xampp\htdocs\laravel\EMS\lang\ja\passwords.php                                                                              | PHP                |          8 |          1 |          5 |         14 |
| c:\xampp\htdocs\laravel\EMS\lang\ja\validation.php                                                                             | PHP                |        246 |         21 |          9 |        276 |
| c:\xampp\htdocs\laravel\EMS\package-lock.json                                                                                  | JSON               |      6,229 |          0 |          1 |      6,230 |
| c:\xampp\htdocs\laravel\EMS\package.json                                                                                       | JSON               |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\laravel\EMS\phpunit.xml                                                                                        | XML                |         29 |          2 |          1 |         32 |
| c:\xampp\htdocs\laravel\EMS\postcss.config.js                                                                                  | JavaScript         |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\laravel\EMS\public\index.php                                                                                   | PHP                |         14 |         30 |         12 |         56 |
| c:\xampp\htdocs\laravel\EMS\resources\css\app.css                                                                              | PostCSS            |          3 |          0 |          1 |          4 |
| c:\xampp\htdocs\laravel\EMS\resources\js\Components\ApplicationLogo.vue                                                        | Vue                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\laravel\EMS\resources\js\Components\BellNotification.vue                                                       | Vue                |         34 |          3 |          6 |         43 |
| c:\xampp\htdocs\laravel\EMS\resources\js\Components\Chart.vue                                                                  | Vue                |         36 |          0 |          5 |         41 |
| c:\xampp\htdocs\laravel\EMS\resources\js\Components\Checkbox.vue                                                               | Vue                |         29 |          0 |          6 |         35 |
| c:\xampp\htdocs\laravel\EMS\resources\js\Components\DangerButton.vue                                                           | Vue                |          7 |          0 |          1 |          8 |
